Sensor_ID,Temperature (å¡C),Vibration (m/så?)
S_171,20,0.2
S_172,21,0.25
S_173,22,0.3
S_174,23,0.35
S_175,24,0.4
S_176,25,0.2
S_177,26,0.25
S_178,27,0.3
S_179,28,0.35
S_180,29,0.4
S_181,20,0.2
S_182,21,0.25
S_183,22,0.3
S_184,23,0.35
S_185,24,0.4
S_186,25,0.2
S_187,26,0.25
S_188,27,0.3
S_189,28,0.35
S_190,29,0.4
S_191,20,0.2
S_192,21,0.25
S_193,22,0.3
S_194,23,0.35
S_195,24,0.4
S_196,25,0.2
S_197,26,0.25
S_198,27,0.3
S_199,28,0.35
S_200,29,0.4
S_201,20,0.2
S_202,21,0.25
S_203,22,0.3
S_204,23,0.35
S_205,24,0.4
S_206,25,0.2
S_207,26,0.25
S_208,27,0.3
S_209,28,0.35
S_210,29,0.4
S_211,20,0.2
S_212,21,0.25
S_213,22,0.3
S_214,23,0.35
S_215,24,0.4
S_216,25,0.2
S_217,26,0.25
S_218,27,0.3
S_219,28,0.35
S_220,29,0.4
S_221,20,0.2
S_222,21,0.25
S_223,22,0.3
S_224,23,0.35
S_225,24,0.4
S_226,25,0.2
S_227,26,0.25
S_228,27,0.3
S_229,28,0.35
S_230,29,0.4
S_231,20,0.2
S_232,21,0.25
S_233,22,0.3
S_234,23,0.35
S_235,24,0.4
S_236,25,0.2
S_237,26,0.25
S_238,27,0.3
S_239,28,0.35
S_240,29,0.4
S_241,20,0.2
S_242,21,0.25
S_243,22,0.3
S_244,23,0.35
S_245,24,0.4
S_246,25,0.2
S_247,26,0.25
S_248,27,0.3
S_249,28,0.35
S_250,29,0.4
S_251,20,0.2
S_252,21,0.25
S_253,22,0.3
S_254,23,0.35
S_255,24,0.4
S_256,25,0.2
S_257,26,0.25
S_258,27,0.3
S_259,28,0.35
S_260,29,0.4
S_261,20,0.2
S_262,21,0.25
S_263,22,0.3
S_264,23,0.35
S_265,24,0.4
S_266,25,0.2
S_267,26,0.25
S_268,27,0.3
S_269,28,0.35
S_270,29,0.4
S_271,20,0.2
S_272,21,0.25
S_273,22,0.3
S_274,23,0.35
S_275,24,0.4
S_276,25,0.2
S_277,26,0.25
S_278,27,0.3
S_279,28,0.35
S_280,29,0.4
S_281,20,0.2
S_282,21,0.25
S_283,22,0.3
S_284,23,0.35
S_285,24,0.4
S_286,25,0.2
S_287,26,0.25
S_288,27,0.3
S_289,28,0.35
S_290,29,0.4
S_291,20,0.2
S_292,21,0.25
S_293,22,0.3
S_294,23,0.35
S_295,24,0.4
S_296,25,0.2
S_297,26,0.25
S_298,27,0.3
S_299,28,0.35
S_300,29,0.4
S_301,20,0.2
S_302,21,0.25
S_303,22,0.3
S_304,23,0.35
S_305,24,0.4
S_306,25,0.2
S_307,26,0.25
S_308,27,0.3
S_309,28,0.35
S_310,29,0.4
S_311,20,0.2
S_312,21,0.25
S_313,22,0.3
S_314,23,0.35
S_315,24,0.4
S_316,25,0.2
S_317,26,0.25
S_318,27,0.3
S_319,28,0.35
S_320,29,0.4
S_321,20,0.2
S_322,21,0.25
S_323,22,0.3
S_324,23,0.35
S_325,24,0.4
S_326,25,0.2
S_327,26,0.25
S_328,27,0.3
S_329,28,0.35
S_330,29,0.4
S_331,20,0.2
S_332,21,0.25
S_333,22,0.3
S_334,23,0.35
S_335,24,0.4
S_336,25,0.2
S_337,26,0.25
S_338,27,0.3
S_339,28,0.35
S_340,29,0.4
S_341,20,0.2
S_342,21,0.25
S_343,22,0.3
S_344,23,0.35
S_345,24,0.4
S_346,25,0.2
S_347,26,0.25
S_348,27,0.3
S_349,28,0.35
S_350,29,0.4
S_351,20,0.2
S_352,21,0.25
S_353,22,0.3
S_354,23,0.35
S_355,24,0.4
S_356,25,0.2
S_357,26,0.25
S_358,27,0.3
S_359,28,0.35
S_360,29,0.4
S_361,20,0.2
S_362,21,0.25
S_363,22,0.3
S_364,23,0.35
S_365,24,0.4
S_366,25,0.2
S_367,26,0.25
S_368,27,0.3
S_369,28,0.35
S_370,29,0.4
S_371,20,0.2
S_372,21,0.25
S_373,22,0.3
S_374,23,0.35
S_375,24,0.4
S_376,25,0.2
S_377,26,0.25
S_378,27,0.3
S_379,28,0.35
S_380,29,0.4
S_381,20,0.2
S_382,21,0.25
S_383,22,0.3
S_384,23,0.35
S_385,24,0.4
S_386,25,0.2
S_387,26,0.25
S_388,27,0.3
S_389,28,0.35
S_390,29,0.4
S_391,20,0.2
S_392,21,0.25
S_393,22,0.3
S_394,23,0.35
S_395,24,0.4
S_396,25,0.2
S_397,26,0.25
S_398,27,0.3
S_399,28,0.35
S_400,29,0.4
S_401,20,0.2
S_402,21,0.25
S_403,22,0.3
S_404,23,0.35
S_405,24,0.4
S_406,25,0.2
S_407,26,0.25
S_408,27,0.3
S_409,28,0.35
S_410,29,0.4
S_411,20,0.2
S_412,21,0.25
S_413,22,0.3
S_414,23,0.35
S_415,24,0.4
S_416,25,0.2
S_417,26,0.25
S_418,27,0.3
S_419,28,0.35
S_420,29,0.4
S_421,20,0.2
S_422,21,0.25
S_423,22,0.3
S_424,23,0.35
S_425,24,0.4
S_426,25,0.2
S_427,26,0.25
S_428,27,0.3
S_429,28,0.35
S_430,29,0.4
S_431,20,0.2
S_432,21,0.25
S_433,22,0.3
S_434,23,0.35
S_435,24,0.4
S_436,25,0.2
S_437,26,0.25
S_438,27,0.3
S_439,28,0.35
S_440,29,0.4
S_441,20,0.2
S_442,21,0.25
S_443,22,0.3
S_444,23,0.35
S_445,24,0.4
S_446,25,0.2
S_447,26,0.25
S_448,27,0.3
S_449,28,0.35
S_450,29,0.4
S_451,20,0.2
S_452,21,0.25
S_453,22,0.3
S_454,23,0.35
S_455,24,0.4
S_456,25,0.2
S_457,26,0.25
S_458,27,0.3
S_459,28,0.35
S_460,29,0.4
S_461,20,0.2
S_462,21,0.25
S_463,22,0.3
S_464,23,0.35
S_465,24,0.4
S_466,25,0.2
S_467,26,0.25
S_468,27,0.3
S_469,28,0.35
S_470,29,0.4
S_471,20,0.2
S_472,21,0.25
S_473,22,0.3
S_474,23,0.35
S_475,24,0.4
S_476,25,0.2
S_477,26,0.25
S_478,27,0.3
S_479,28,0.35
S_480,29,0.4
S_481,20,0.2
S_482,21,0.25
S_483,22,0.3
S_484,23,0.35
S_485,24,0.4
S_486,25,0.2
S_487,26,0.25
S_488,27,0.3
S_489,28,0.35
S_490,29,0.4
S_491,20,0.2
S_492,21,0.25
S_493,22,0.3
S_494,23,0.35
S_495,24,0.4
S_496,25,0.2
S_497,26,0.25
S_498,27,0.3
S_499,28,0.35
S_500,29,0.4

